playerId,playerName,allGoals,allGoalsMissed,allGoalsAttempted,goalConversionRate,allRunMetres,allRuns,runMetres,runs,bombKicks,bombKicksDefused,bombKicksNotDefused,chargeDowns,chargedDown,conversions,conversionsAttempts,conversionsMissed,decoys,draws,dummyHalfRuns,errors,fieldGoals,fieldGoalsAttempts,fieldGoalsMissed,fortyTwentyKicks,twentyFortyKicks,gameID,hitUps,hitUpRunMetres,ineffectiveTackles,interceptedPass,intercepts,kickMetres,kickReturnMetres,kickReturns,kicks,kicksDefused,kicksNotDefused,lineDropouts,linebreakAssists,linebreaks,mins,minutesPlayed,missedTackles,offloads,onReports,oneOnOneTackles,oppositionId,penalties,penaltiesAwarded,penaltyGoals,penaltyGoalsAttempts,penaltyGoalsMissed,points,positionId,positionName,pointsConceded,roundNumber,sentOff,sinBins,supports,tackleBreaks,tackles,teamId,tries,triesConceded,tryAssists,trySaves,postContactMetres,lineEngagedRuns,receipts,passes,dummyPasses,grubberKicks,chipKicks,crossFieldKick,forcedDropOutKicker,longKicksSpace,twoManTackles,threeManTackles,fourManPlusTackles,ptbAverage,ptbTotal,ptbZeroToOne,ptbOneToTwo,ptbTwoToThree,ptbThreeToFour,ptbFourToFive,ptbFivePlus,handlingErrors,effectiveTacklePercentage,ptbPenalties,generalPlayPenalties,foulPlayPenalties,offsidePenalties,scrumPenalties,dummyHalfRunMetres,passesPerRun,tryCause,kickPressures,kickReceiptRuns,kickReceiptMetres,wins,losses,ruckInfringements,setRestartConceded10mOffside,onePointFieldGoal,twoPointFieldGoal,onePointFieldGoalAttempted,twoPointFieldGoalAttempted,onePointFieldGoalMissed,twoPointFieldGoalMissed,kickTryAssist,kickReceipt,escapeOutOfInGoal,markers,markerTackles,breakCause,tacklerForcedDropout,forcedTurnover,tryInvolvement,linebreakInvolvement,firstTryScorer,lastTryScorer,firstScorer,lastScorer,distanceGainedFromOffload,attackingKicks,ptbOpp20m,ptbWon,ptbLost
507846,Kaeo Weekes,0,0,0,0.0,128,14,128,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20251110110,0,0,0,0,0,0.0,66,6,0,1,0,0,0,0,80,80,1,0,0,1,500032,1,0,0,0,0,0,500001,Fullback,8,1,0,0,1,7,2,500013,0,0,0,0,37.1,1,21,5,1,0,0,0,0,0,0,0,0,3.31,14,0,2,2,7,3,0,0,66.7,0,0,0,0,1,0,0.36,0,0,6,66.0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10
100013751,Savelio Tamale,0,0,0,0.0,219,16,219,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20251110110,0,0,0,0,0,7.0,95,4,1,1,0,0,0,2,80,80,0,1,0,1,500032,1,0,0,0,0,0,500002,Winger,8,1,0,0,2,7,3,500013,0,0,0,0,92.7,0,24,6,0,1,0,0,0,0,0,0,0,3.67,11,0,0,3,4,4,0,1,100.0,0,0,0,1,0,0,0.38,0,0,3,89.7,1,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,6,6
509757,Matthew Timoko,0,0,0,0.0,137,13,137,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20251110110,0,0,2,0,0,0.0,0,0,0,0,0,0,1,1,80,80,1,2,0,1,500032,0,0,0,0,0,4,500003,Centre,8,1,0,0,3,3,18,500013,1,0,1,0,34.9,1,12,1,0,0,0,0,0,0,0,0,0,3.72,9,0,0,2,4,2,1,0,85.7,0,0,0,0,0,0,0.08,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,1,1,0,1,0,0,0,0,0,0,13,0,0,3,6
504148,Sebastian Kris,0,0,0,0.0,128,13,128,13,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,20251110110,0,0,2,0,0,0.0,0,0,0,0,0,0,0,1,80,80,0,0,0,1,500032,0,0,0,0,0,8,500004,Centre,8,1,0,0,1,5,14,500013,2,0,0,0,51.2,0,14,4,1,0,0,0,0,0,0,0,0,3.07,9,0,0,4,4,1,0,2,87.5,0,0,0,0,0,0,0.31,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,3,0,0,0,0,0,1,0,1,0,0,0,0,5,4
510220,Xavier Savage,0,0,0,0.0,219,16,219,16,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,20251110110,0,0,0,0,1,0.0,0,0,0,2,1,0,0,1,80,80,2,2,1,2,500032,1,0,0,0,0,8,500005,Winger,8,1,0,0,2,7,6,500013,2,0,0,0,61.3,1,22,4,1,0,0,0,0,0,0,0,0,4.16,10,0,1,1,3,3,2,1,75.0,0,1,0,0,0,10,0.25,2,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,2,1,1,0,0,0,0,0,0,0,4,7
100006524,Ethan Strange,0,0,0,0.0,36,6,36,6,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,20251110110,0,0,1,0,0,59.8,5,1,2,1,0,0,2,0,80,80,2,1,0,1,500032,1,0,0,0,0,0,500006,Five-Eighth,8,1,0,0,4,2,20,500013,0,0,2,0,8.9,2,27,19,0,0,0,0,0,0,0,0,0,3.82,2,0,0,1,0,1,0,2,87.0,1,0,0,0,0,0,3.17,0,2,1,5.9,1,0,0,0,0,0,0,0,0,0,1,1,0,16,1,0,0,0,1,1,0,0,0,0,0,2,1,1,1
501175,Jamal Fogarty,5,1,6,83.33,43,8,43,8,2,0,0,0,0,4,5,1,3,0,0,4,0,0,0,0,0,20251110110,0,0,1,1,0,517.4,0,0,14,1,1,1,0,0,80,80,1,0,0,1,500032,0,0,1,1,0,10,500007,Halfback,8,1,0,0,6,1,27,500013,0,0,0,0,5.8,6,61,42,5,1,0,0,0,0,0,0,0,4.09,3,0,1,0,0,1,1,4,93.1,0,0,0,0,0,0,5.25,1,2,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,21,2,1,0,1,0,0,0,0,0,0,0,3,1,1,2
506018,Corey Horsburgh,0,0,0,0.0,123,16,123,16,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,20251110110,15,118,0,0,0,0.0,0,0,0,0,0,0,0,0,59,59,3,3,0,0,500032,0,0,0,0,0,0,500008,Prop,8,1,0,0,2,1,35,500013,0,0,0,0,62.0,1,20,5,2,0,0,0,0,0,0,0,0,3.46,10,0,1,1,6,2,0,0,92.1,0,0,0,0,0,0,0.31,0,2,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,1,0,0,0,0,0,0,19,0,2,6,4
504072,Tom Starling,0,0,0,0.0,127,8,127,8,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,20251110110,4,42,0,0,0,0.0,0,0,0,0,0,0,0,1,68,68,3,0,0,0,500032,0,0,0,0,0,0,500009,Hooker,8,1,0,0,2,2,33,500013,0,0,0,0,24.0,1,93,88,1,0,0,0,0,0,0,0,0,3.17,6,0,0,3,3,0,0,0,91.7,0,0,0,0,0,85,11.0,0,5,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,1,0,0,0,0,0,0,0,0,0,5,1
500555,Joseph Tapine,0,0,0,0.0,138,15,138,15,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20251110110,15,138,0,0,0,0.0,0,0,0,0,0,0,0,0,45,45,3,3,1,1,500032,1,0,0,0,0,0,500010,Prop,8,1,0,1,2,0,27,500013,0,0,0,0,75.9,0,18,2,0,0,0,0,0,0,0,0,0,3.68,11,0,0,4,5,1,1,0,90.0,0,1,0,0,0,0,0.13,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,8,0,1,6,6
